Age,Balance,IsActiveMember,Surname,Geography,Gender,Exited
39,0.0,0,Pinto,Spain,Female,1
24,57929.81,0,Wood,Germany,Male,0
29,130114.39,0,Hawkins,France,Female,0
27,95826.49,0,Sun,Germany,Male,0
44,129608.57,0,Yost,Germany,Male,1
30,169462.09,0,Ting,France,Male,0
40,0.0,1,Rowe,France,Male,0
35,133868.21,1,Fu,Spain,Female,0
30,0.0,1,Ho,France,Female,0
36,190479.48,0,Okechukwu,Germany,Male,0
40,101993.12,1,Campbell,Spain,Female,0
55,161608.81,0,Ashbolt,Germany,Female,1
45,122311.21,1,Rozier,Spain,Female,0
65,0.0,1,Hsia,France,Male,0
45,162150.42,0,Ogbonnaya,Germany,Female,0
42,0.0,1,T'ang,France,Male,0
50,0.0,1,Cocci,France,Female,1
32,0.0,0,Chang,France,Male,0
39,99010.67,0,T'ao,France,Female,0
37,0.0,1,Ford,Spain,Female,0
30,0.0,1,Marshall,Spain,Male,0
34,111388.18,0,Tsai,Germany,Female,0
41,56214.85,0,Onwumelu,France,Female,1
36,84327.77,0,Graham,France,Female,0
40,0.0,0,Golovanov,France,Male,0
32,93012.89,0,Potts,France,Male,0
29,61710.44,0,Crawford,Spain,Male,0
35,174790.15,1,Aleshire,France,Male,0
32,0.0,1,Moran,Spain,Female,0
37,107720.64,1,Samsonova,Germany,Male,0
57,0.0,1,Jenkins,France,Male,0
35,96423.84,0,Volkov,France,Male,0
30,141040.01,1,Chiemezie,Spain,Male,0
42,105420.18,1,Jude,France,Male,0
50,0.0,1,He,Spain,Male,1
38,129022.06,1,Onuora,France,Female,1
33,176666.62,0,Ginikanwa,Spain,Male,0
37,0.0,1,Ku,France,Male,0
41,89763.84,0,McDonald,Spain,Female,1
34,134954.53,1,Collins,France,Male,0
45,0.0,0,Hackett,France,Male,1
45,106376.85,1,Dike,France,Male,0
33,161814.64,0,Trevisano,Germany,Male,0
31,0.0,1,Tan,France,Male,0
41,0.0,0,Glassman,France,Female,0
34,63095.01,1,Miller,France,Female,0
26,118287.01,0,Kornilova,Germany,Male,0
47,106854.21,1,Watson,Germany,Male,1
46,49512.55,0,Marchesi,France,Male,0
33,0.0,0,Millar,Spain,Female,0
43,105799.32,0,Shih,France,Male,1
54,0.0,1,Fuller,France,Male,1
31,114722.05,1,Hay,France,Female,0
30,0.0,1,Yang,Spain,Male,0
42,0.0,1,McIntyre,France,Male,0
33,0.0,0,Stevenson,France,Male,1
45,99564.22,1,Poole,Germany,Male,1
37,170557.91,0,Bagley,France,Male,0
30,0.0,1,Ch'ien,France,Female,0
39,74596.15,1,Cattaneo,Germany,Female,1
50,96888.39,0,O'Sullivan,Germany,Male,1
29,130830.22,0,Lucas,Germany,Female,0
72,0.0,1,Ringrose,France,Male,0
40,0.0,0,Freeman,France,Male,0
37,0.0,1,Sergeyev,France,Female,0
20,119714.25,1,Fiore,Germany,Male,0
67,113978.97,1,Smith,France,Female,0
42,100160.75,0,Dumetochukwu,Germany,Male,1
29,0.0,1,Pacheco,France,Female,0
43,116220.5,0,Synnot,Germany,Female,1
46,0.0,0,Johnston,France,Female,1
28,81173.83,1,Stevens,France,Male,0
38,0.0,0,Grant,Spain,Male,0
39,116803.8,0,Tsao,Germany,Female,0
37,105961.68,1,Barnes,France,Male,0
67,117411.6,1,McIntosh,Germany,Male,1
34,0.0,0,Madison,Spain,Male,0
40,123497.58,0,Ifesinachi,France,Female,1
26,152400.51,0,Glazkov,Germany,Male,0
26,0.0,1,Dimauro,France,Female,0
24,103097.85,1,Wieck,Germany,Male,0
54,126418.14,0,Liao,Germany,Male,1
36,77846.9,0,Hughes,Germany,Female,0
34,0.0,1,Morrison,Spain,Female,0
79,0.0,1,Matveyeva,France,Female,0
37,79731.91,1,Ku,Germany,Male,0
28,0.0,0,Cheatham,Spain,Male,0
41,0.0,1,Yao,Spain,Male,0
34,0.0,1,Kirkland,France,Male,0
34,37266.67,0,Rose,Germany,Female,0
30,127992.25,1,Jess,France,Female,0
38,54901.01,1,Welch,Germany,Male,0
42,108748.08,1,Ifeajuna,Germany,Male,0
48,99906.19,0,Morton,Spain,Female,0
32,184686.41,0,Rossi,France,Female,0
26,110654.02,1,Reppert,France,Female,0
31,79019.8,1,Kang,Spain,Male,0
36,99240.51,0,Ch'iu,Spain,Female,0
34,0.0,1,Wallis,France,Male,0
36,0.0,0,Clark,France,Male,0
39,0.0,0,Fielding,Spain,Female,1
35,52436.2,0,Zetticci,Germany,Female,0
41,0.0,1,Dulhunty,Spain,Male,0
34,100337.96,0,Bevington,Germany,Male,1
34,149297.19,1,Boyle,Germany,Female,0
30,0.0,0,Newton,France,Male,0
28,145605.44,1,Bowman,Germany,Male,0
37,0.0,1,Dubinina,Spain,Female,0
62,0.0,1,Toscani,France,Male,1
53,0.0,0,Chiazagomekpere,France,Female,0
35,84026.86,1,Allen,France,Male,0
46,0.0,0,K'ung,France,Male,1
39,0.0,1,Wilsmore,France,Male,0
29,0.0,1,Hargreaves,Spain,Male,0
35,138718.92,1,Huang,Germany,Male,1
42,118274.71,1,Ch'ien,France,Male,0
22,174185.98,1,Wallwork,France,Female,0
40,113208.86,0,Chu,France,Male,0
29,103907.28,0,Kang,Spain,Male,0
32,119023.28,0,Davidson,France,Female,0
26,166297.89,1,O'Donnell,Spain,Female,0
34,0.0,0,Nnachetam,Spain,Male,0
42,63227.0,1,Chidiebele,Germany,Male,0
41,94521.17,0,Ahmed,Spain,Female,0
27,0.0,0,Booth,France,Male,0
34,112822.26,0,Chuang,Spain,Female,1
38,0.0,1,Shao,France,Male,0
25,135903.33,0,Tsao,France,Male,0
31,125169.26,1,Tien,France,Female,0
44,0.0,0,Chang,Spain,Female,1
58,149117.31,1,Johnson,France,Male,0
33,0.0,1,French,France,Male,0
31,0.0,0,Efremov,France,Female,0
36,132311.71,0,Hartley,Spain,Female,0
35,0.0,0,Calabrese,France,Male,0
33,0.0,1,Chiu,France,Female,0
33,118082.89,0,Brennan,France,Male,0
31,119266.69,1,Onwuatuegwu,France,Male,0
43,0.0,1,Hewitt,France,Male,1
35,156847.29,0,Shih,Germany,Male,0
50,137104.47,0,Balashov,France,Male,1
31,78398.69,0,Doyle,Germany,Male,0
80,0.0,1,Pokrovskii,France,Female,0
30,63669.42,0,Collins,Germany,Male,0
38,0.0,0,Russo,France,Male,0
59,135296.33,0,Skinner,Germany,Female,0
36,153804.44,1,Robertson,Spain,Male,0
37,0.0,0,Atkinson,Spain,Male,0
49,147069.78,0,Doyle,France,Male,1
42,0.0,1,Ritchie,Spain,Male,0
22,0.0,0,McEncroe,Spain,Female,0
24,95741.75,0,Pearson,France,Male,0
57,145965.33,1,Gordon,Spain,Female,0
30,141441.75,1,Ts'ai,France,Female,0
40,139290.41,0,Lung,France,Male,1
31,0.0,0,Yuan,France,Female,0
30,0.0,0,Pardey,France,Male,0
35,144428.87,0,Tai,France,Male,0
35,0.0,0,Scott,France,Male,0
46,95441.27,0,Hunter,France,Female,1
35,144848.74,1,Mazzanti,Germany,Male,0
26,116244.14,1,L?,Germany,Male,0
50,0.0,1,Beach,France,Male,0
40,146502.07,0,Hsieh,Spain,Female,0
44,117028.6,1,Faulkner,Germany,Male,0
30,112013.81,0,Knowles,Germany,Female,1
37,108269.37,0,Day,Spain,Female,0
29,182123.79,0,Hsueh,France,Male,1
32,150923.74,1,Tsao,Germany,Female,0
33,0.0,0,Kennedy,France,Male,0
39,165272.13,0,Nwabugwu,Spain,Female,1
39,115301.31,0,Young,Germany,Female,1
40,129502.49,1,Kerr,Germany,Female,1
31,118342.26,0,Tien,France,Male,0
47,0.0,1,Marrero,Spain,Female,0
22,0.0,0,White,France,Male,0
25,0.0,0,Pisano,France,Female,0
43,0.0,0,Brown,France,Female,0
34,106937.05,0,Freeman,Germany,Female,0
59,170331.37,1,Russell,Germany,Male,0
32,114510.85,1,Seleznyov,Germany,Female,0
39,0.0,1,Yusupova,France,Male,0
32,107594.11,1,Foley,Spain,Male,0
39,81273.13,1,Shih,Spain,Male,0
32,169399.6,0,Ikedinachukwu,Spain,Female,0
25,0.0,1,Power,Spain,Male,0
45,187841.99,1,Amos,France,Female,0
30,0.0,0,Reed,France,Male,0
57,126776.3,1,Simmons,Spain,Female,0
34,126436.29,0,Ricci,Spain,Male,1
41,101960.74,1,Yen,France,Male,0
58,0.0,1,Campbell,France,Male,0
28,0.0,1,West,Spain,Male,0
45,150842.93,1,Robinson,Germany,Female,1
50,102535.57,1,Bianchi,France,Female,0
29,99027.61,0,Chen,Germany,Female,0
68,0.0,1,Madukaego,France,Male,0
33,0.0,1,Ibrahimova,Spain,Female,0
42,87271.41,0,Nolan,Germany,Female,0
35,102742.91,1,Scott,Germany,Female,0
34,40105.51,1,Blair,Germany,Male,0
29,152265.43,0,Monaldo,France,Female,0
42,141947.67,1,Sutherland,Spain,Male,0
75,106307.91,1,Cole,Germany,Female,0
31,107884.81,1,Briggs,Germany,Male,0
31,125013.72,1,Gregory,Germany,Male,0
35,58469.37,1,Bianchi,Germany,Male,0
39,0.0,1,Angelo,France,Female,0
45,117231.63,1,Gardiner,Germany,Male,1
35,152390.26,0,Kerr,Spain,Male,0
30,34013.63,0,Ko,Spain,Female,0
39,0.0,0,Distefano,Spain,Female,1
50,0.0,1,Farrell,France,Female,0
36,101583.11,0,Milano,France,Male,0
30,77168.87,1,Ting,Germany,Female,0
28,124695.72,0,Boyd,Germany,Male,0
44,105934.96,0,Onyemaechi,Germany,Male,0
66,0.0,1,Black,France,Female,0
46,0.0,0,Oliver,Spain,Male,0
62,0.0,1,Greco,Spain,Male,0
45,0.0,1,Whitehead,Spain,Female,0
21,161525.96,0,Ikemefuna,France,Female,0
29,147199.07,1,Morrison,Germany,Female,0
38,183102.29,1,Onyeoruru,Germany,Male,0
46,127209.0,0,Cunningham,Spain,Male,1
38,0.0,0,Demidov,Spain,Male,1
24,97378.54,1,Celis,Spain,Female,0
37,136925.09,1,Cheng,Germany,Female,0
33,54503.55,1,Knight,France,Male,0
32,155726.85,0,Morin,Germany,Male,0
39,0.0,1,Mills,France,Female,0
66,135842.41,0,Outhwaite,France,Female,1
52,63349.75,0,Tung,France,Male,0
38,129499.42,1,Pai,Germany,Female,0
52,0.0,1,Carpenter,Spain,Male,0
36,70438.01,1,Fennell,Spain,Male,0
23,0.0,1,Fontaine,France,Male,0
36,0.0,0,Pratt,France,Male,0
49,141434.04,0,Mitchell,Spain,Female,1
37,0.0,0,Franklin,Spain,Female,0
37,152958.29,1,K'ung,Germany,Male,0
41,138306.34,0,Ko,Germany,Female,0
23,0.0,0,McKenzie,Spain,Male,0
38,0.0,1,Pino,France,Male,0
31,124328.84,1,Fisk,Spain,Female,0
41,181461.48,1,Chiang,Germany,Female,1
35,0.0,0,Moseley,Spain,Male,0
26,0.0,0,Hsiung,Spain,Male,0
61,110368.03,0,Heath,Germany,Female,1
39,89588.35,1,Dellucci,France,Female,0
46,0.0,0,Li,France,Female,0
28,0.0,0,De Salis,France,Female,0
60,115924.89,0,T'ang,Germany,Female,1
38,0.0,0,Richardson,France,Female,0
40,111756.5,0,Fitch,Germany,Male,1
35,0.0,0,Stevenson,France,Female,0
39,0.0,0,Estes,France,Male,0
26,162923.85,0,Lattimore,France,Male,0
39,124576.65,0,Chung,Germany,Male,0
45,80793.58,1,Utz,France,Male,0
40,71340.09,0,Wei,Germany,Female,0
40,99282.63,0,Boyle,Germany,Male,1
57,137946.39,1,Nwachinemelu,Germany,Male,1
41,127892.57,1,Kuznetsova,Germany,Male,0
33,101084.36,0,Pisani,Germany,Female,0
37,114754.08,0,Manna,Germany,Female,1
33,0.0,0,Collier,France,Male,0
51,99286.98,1,Ricci,France,Female,0
30,79871.02,0,Carr,Germany,Female,0
35,104088.59,0,Hs?,France,Male,0
38,168190.33,0,Findlay,France,Female,0
42,85679.25,1,Hughes,Germany,Female,0
35,0.0,0,Chukwuemeka,France,Female,0
31,0.0,0,Genovese,France,Female,0
34,121551.58,1,Swift,France,Female,0
46,122220.19,1,Ugoji,France,Male,0
47,116528.15,0,Parkinson,Spain,Male,1
26,77780.29,1,Ross,France,Female,0
37,0.0,0,Oleary,France,Male,0
40,125832.2,1,Turnbull,France,Male,0
38,68065.8,0,Uspensky,France,Female,1
47,127299.34,0,Cook,Spain,Female,0
38,174937.64,0,Newbold,Germany,Female,0
40,0.0,1,Uchechukwu,France,Male,0
31,110071.1,0,Ch'en,Spain,Male,0
44,139432.37,0,He,Spain,Female,0
39,127357.76,1,Hilton,France,Female,0
36,0.0,0,Sal,France,Male,0
33,0.0,1,Eluemuno,France,Male,0
38,0.0,0,Titus,France,Male,0
43,95556.31,1,Yin,Germany,Male,1
37,0.0,1,Lettiere,Spain,Male,0
29,111681.98,1,Templeman,Germany,Male,0
39,0.0,0,Chibuzo,France,Male,0
25,108738.71,0,Sun,Spain,Female,0
32,133950.37,1,Evans,France,Female,1
26,0.0,1,Ogbonnaya,Spain,Male,0
33,89968.69,0,Enyinnaya,France,Male,0
32,0.0,1,Olisanugo,Spain,Female,0
38,130878.75,0,Brookes,Germany,Female,1
35,0.0,0,Padovano,France,Male,0
35,0.0,1,Fisk,France,Male,0
27,134169.62,1,Shih,Spain,Male,0
37,149762.08,0,Hare,France,Male,1
26,93844.69,0,Muir,France,Male,0
28,0.0,0,Fanucci,France,Male,0
33,0.0,0,Elewechi,France,Female,0
46,141078.37,0,Johnston,Germany,Male,1
31,117992.59,1,Pisano,Germany,Female,0
40,100812.33,0,Ankudinov,France,Female,0
38,0.0,1,Nwokike,France,Male,0
29,80262.6,1,Smith,France,Male,0
34,156478.62,1,Atkins,Spain,Male,0
23,0.0,0,Burns,France,Female,0
37,0.0,0,Obiuto,France,Male,0
37,115217.99,0,Pirozzi,Germany,Male,0
61,0.0,0,George,Spain,Male,1
35,155470.55,1,Lewis,France,Female,0
37,0.0,0,Moran,France,Male,0
39,135096.77,1,Dalrymple,France,Male,1
30,0.0,1,Carslaw,France,Male,0
55,180075.22,1,Kirby,Germany,Female,0
29,97541.24,1,Houghton,Spain,Male,0
41,156067.05,1,Martin,France,Female,0
38,81550.94,1,Tan,France,Female,0
47,0.0,0,Hsia,France,Female,1
38,170061.92,0,Westerberg,France,Female,1
36,92310.54,1,Hale,Germany,Male,0
32,169089.38,0,Kryukova,France,Female,0
40,80613.93,1,Sopuluchukwu,France,Male,0
26,121581.56,1,Barry,Germany,Male,0
58,0.0,1,Selezneva,France,Female,1
32,0.0,1,Chizuoke,Spain,Male,0
54,0.0,1,Lueck,France,Male,0
60,85891.55,0,Udinese,France,Male,1
44,77637.35,1,Udobata,Spain,Male,0
41,0.0,0,Freeman,Spain,Female,0
31,0.0,0,Outlaw,France,Male,0
30,116927.89,0,Obiuto,Germany,Male,0
40,137326.65,0,Lo,Germany,Female,0
22,0.0,1,Okechukwu,France,Male,0
37,0.0,1,King,Spain,Female,0
31,67238.98,1,Forbes,Germany,Female,0
38,86569.76,0,Macleod,Germany,Female,0
34,0.0,0,Gibbs,Spain,Male,0
34,133598.4,1,Isayev,France,Male,0
51,136188.78,1,Pisano,France,Female,1
38,0.0,0,Belstead,Spain,Male,0
56,0.0,1,Vassiliev,France,Female,1
37,120092.52,0,Schneider,Germany,Male,0
48,101238.24,1,Mazzanti,France,Male,1
58,89685.92,1,Knipe,France,Male,0
35,211774.31,0,Macartney,France,Female,1
56,131317.48,1,Madukwe,France,Male,0
37,93722.73,1,Watts,Spain,Male,0
32,101160.99,1,Humphreys,Germany,Male,0
48,120320.54,0,Wu,France,Male,0
31,0.0,1,Chin,France,Female,0
43,0.0,1,Chesnokova,France,Male,0
26,0.0,0,Kung,France,Male,0
48,152827.99,0,Lu,Germany,Female,1
30,64097.75,1,Nkemakolam,France,Male,0
57,119035.35,1,Walton,Spain,Female,0
26,135219.57,1,Brookes,Spain,Female,0
32,93694.42,1,Baldwin,France,Male,0
35,59408.63,0,Mai,Spain,Male,0
40,114354.95,0,Shih,France,Female,0
59,0.0,0,He,France,Male,1
35,128173.9,0,Fiorentini,Germany,Male,0
34,0.0,0,Lucciano,Spain,Male,0
62,114931.35,1,Ferreira,Germany,Female,1
28,111071.36,0,Ukaegbunam,Germany,Female,1
37,151226.18,1,De Luca,France,Male,0
26,0.0,1,Milne,France,Male,0
42,64740.12,1,Davide,France,Female,0
51,169312.13,0,Kodilinyechukwu,Spain,Male,1
49,0.0,1,Little,France,Female,1
44,112652.08,0,Burns,Spain,Female,0
38,0.0,0,Paterson,France,Male,0
30,143964.36,0,Han,Germany,Female,0
49,122451.46,1,Kryukova,France,Male,0
24,0.0,1,Ijendu,France,Male,0
36,65253.07,0,Reichard,Germany,Female,0
47,106901.94,1,Day,Germany,Male,1
25,128509.63,0,Price,Spain,Female,0
34,0.0,0,Bruce,France,Male,0
33,129834.67,0,Sumrall,Germany,Male,0
51,154962.99,1,Lu,Spain,Female,1
40,138241.9,0,Lazarev,Germany,Male,0
41,91536.93,0,Miller,Germany,Male,1
53,0.0,1,Wentworth-Shields,Spain,Male,0
70,0.0,1,Ritchie,Spain,Female,0
29,105204.01,1,Mackenzie,Germany,Female,0
61,152968.73,1,Power,Spain,Male,0
36,158261.68,1,Tan,Spain,Male,0
46,0.0,0,Pendergrass,France,Female,1
38,121021.05,1,Evans,Spain,Female,0
36,0.0,1,Hsia,France,Male,0
54,0.0,0,Billson,Spain,Female,1
63,137715.66,1,Teng,Spain,Female,0
31,121192.22,1,Moretti,Germany,Male,0
31,0.0,1,Jordan,France,Male,0
44,100486.18,1,Ts'ao,France,Male,0
45,0.0,0,Osborne,France,Male,1
35,92566.53,0,Carslaw,France,Male,0
49,0.0,1,Ch'ang,Spain,Female,1
40,110929.96,1,Hung,Spain,Male,0
27,0.0,1,Gordon,France,Female,0
32,138901.61,0,Obialo,Spain,Female,0
30,123217.66,1,Gray,France,Male,0
41,0.0,0,Lin,France,Female,0
39,0.0,1,Hopkins,France,Male,0
36,0.0,0,Dobson,Spain,Male,0
33,108431.87,1,McKay,Spain,Female,1
57,0.0,1,Revell,Spain,Female,0
30,72392.41,0,Rickards,Germany,Female,0
51,119741.77,0,Begum,Germany,Female,1
51,100946.71,0,Onyinyechukwuka,France,Female,1
53,170491.84,0,Zuyev,Spain,Male,1
44,0.0,1,Nwankwo,France,Male,0
36,0.0,0,Hao,France,Male,0
47,157296.02,0,Ma,Spain,Female,1
38,144606.22,1,Okwuadigbo,Germany,Female,1
38,134811.3,0,Mitchell,France,Male,0
34,115897.12,1,Chan,France,Female,0
32,82034.0,0,Buchi,Spain,Male,0
26,174318.13,1,Greco,Spain,Female,0
41,114206.84,0,Lombardi,Germany,Female,0
43,0.0,0,Uchenna,Spain,Male,0
39,111574.41,1,Coffman,Germany,Male,0
57,162448.69,0,Alexandrova,Germany,Female,1
34,148249.54,1,Fallaci,Germany,Female,0
43,0.0,1,Hudson,France,Female,1
26,123709.46,1,Mai,Spain,Female,0
72,0.0,1,Stout,France,Female,0
30,0.0,0,Burke,France,Male,1
37,150525.8,1,Chadwick,France,Male,0
29,0.0,1,Lawrence,France,Male,0
53,0.0,1,Bellucci,France,Male,0
28,0.0,0,Harper,France,Male,0
35,0.0,1,Boyle,France,Male,0
51,111018.98,0,Duncan,Germany,Female,0
30,129755.99,0,Moss,France,Male,0
27,0.0,0,Avdeyeva,France,Female,0
64,129555.7,1,Crawford,France,Female,0
38,87202.38,1,Lynton,Spain,Male,0
26,146133.39,1,Duncan,Germany,Male,0
31,0.0,0,Gether,Spain,Female,1
39,170184.99,0,Davidson,Spain,Male,0
62,140745.33,0,Larionova,Germany,Female,1
42,139070.51,1,Loggia,Spain,Male,0
37,0.0,1,Steinhoff,Spain,Female,0
35,114193.24,0,Guerra,France,Male,0
40,167878.5,1,Pai,Spain,Female,0
53,141616.55,1,Craig,Germany,Female,0
36,145747.67,1,Lazareva,Germany,Male,0
48,129120.64,1,Ch'iu,Spain,Female,0
35,110349.82,0,Alderete,Spain,Male,0
29,141325.56,1,Kung,France,Male,0
49,78653.84,0,Palermo,France,Male,0
47,0.0,1,Ts'ai,France,Male,0
28,142253.65,0,Rahman,Spain,Female,0
61,0.0,0,McMillan,France,Female,1
54,115988.86,0,Pickering,Germany,Female,1
33,75592.43,0,Mirams,Spain,Female,0
44,164113.04,1,Tsao,Germany,Male,0
31,67996.23,0,Douglas,France,Male,1
51,0.0,0,Jideofor,Spain,Female,0
